key,item_fat_content,item_identifier,item_MRP,item_outlet_sales,item_type,item_weight,outlet_identifier,outlet_location_type,outlet_size,outlet_type,source,outlet_years,item_visibility_mean_ratio
0,Low Fat,FDA15,249.8092,3735.138,Food,9.3,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
1,Regular,DRC01,48.2692,443.4228,Drink,5.92,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514944
2,Low Fat,FDN15,141.618,2097.27,Food,17.5,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.998508499
3,Regular,FDX07,182.095,732.38,Food,19.2,OUT010,Tier 3,Small,Grocery Store,train,15,0.778299985
4,Non-Edible,NCD19,53.8614,994.7052,Non-consumable,8.93,OUT013,Tier 3,High,Supermarket Type1,train,26,0.742195169
5,Regular,FDP36,51.4008,556.6088,Food,10.395,OUT018,Tier 3,Medium,Supermarket Type2,train,4,0.626152631
6,Regular,FDO10,57.6588,343.5528,Food,13.65,OUT013,Tier 3,High,Supermarket Type1,train,26,1.002010889
7,Low Fat,FDP10,107.7622,4022.7636,Food,19,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377941
8,Regular,FDH17,96.9726,1076.5986,Food,16.2,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472564
9,Regular,FDU28,187.8214,4710.535,Food,19.2,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.002597679
10,Low Fat,FDY07,45.5402,1516.0266,Food,11.8,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
11,Regular,FDA03,144.1102,2187.153,Food,18.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447681
12,Regular,FDX32,145.4786,1589.2646,Food,15.1,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000776763
13,Regular,FDS46,119.6782,2145.2076,Food,17.6,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.99844767
14,Low Fat,FDF32,196.4426,1977.426,Food,16.35,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999356791
15,Regular,FDP49,56.3614,1547.3192,Food,9,OUT046,Tier 1,Small,Supermarket Type1,train,16,1
16,Non-Edible,NCB42,115.3492,1621.8888,Non-consumable,11.8,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293657
17,Regular,FDP49,54.3614,718.3982,Food,9,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.001554735
18,Low Fat,DRI11,113.2834,2303.668,Drink,8.26,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377922
19,Low Fat,FDU02,230.5352,2748.4224,Food,13.35,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258883
20,Regular,FDN22,250.8724,3775.086,Food,18.85,OUT013,Tier 3,High,Supermarket Type1,train,26,0.998391703
21,Regular,FDW12,144.5444,4064.0432,Food,8.315,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377915
22,Non-Edible,NCB30,196.5084,1587.2672,Non-consumable,14.6,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258902
